2026-08-05 02:28:06,698 | INFO    | molsanity | === MolSanity run: full.yaml (seed=0) ===
2026-08-05 02:28:12,832 | INFO    | molsanity | Preflight: attributor dependencies OK.
2026-08-05 02:28:12,836 | INFO    | molsanity | Seeds: [0, 1, 2]
2026-08-05 02:28:13,432 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__scaffold__seed0] cache hit (f27d4f634a6b3108) — skipping
2026-08-05 02:28:13,433 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__scaffold__seed0] DONE — acc=0.91 gt_auroc=0.97744 n=200 (capped) [cached]
2026-08-05 02:28:14,228 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__scaffold__seed1] cache hit (fa1093e519ff4552) — skipping
2026-08-05 02:28:14,228 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__scaffold__seed1] DONE — acc=0.96 gt_auroc=0.9764400000000001 n=200 (capped) [cached]
2026-08-05 02:28:14,865 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__scaffold__seed2] cache hit (ed76f6ca9aec96f7) — skipping
2026-08-05 02:28:14,865 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__scaffold__seed2] DONE — acc=0.97 gt_auroc=0.9664400000000001 n=200 (capped) [cached]
2026-08-05 02:28:15,493 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__random__seed0] cache hit (02753f4e809ce5f5) — skipping
2026-08-05 02:28:15,493 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__random__seed0] DONE — acc=0.98 gt_auroc=0.9968800000000002 n=200 (capped) [cached]
2026-08-05 02:28:16,103 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__random__seed1] cache hit (7d175e0f92c82ad0) — skipping
2026-08-05 02:28:16,103 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__random__seed1] DONE — acc=0.98 gt_auroc=0.99576 n=200 (capped) [cached]
2026-08-05 02:28:16,681 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__random__seed2] cache hit (1565f585e9b5541c) — skipping
2026-08-05 02:28:16,682 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__random__seed2] DONE — acc=0.94 gt_auroc=0.97708 n=200 (capped) [cached]
2026-08-05 02:28:17,333 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__Saliency__scaffold__seed0] cache hit (48c0da9ec625aa1b) — skipping
2026-08-05 02:28:17,333 | INFO    | molsanity | [cell SynthMotifs__GINE__Saliency__scaffold__seed0] DONE — acc=0.91 gt_auroc=0.98556 n=200 (capped) [cached]
2026-08-05 02:28:17,938 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__Saliency__scaffold__seed1] cache hit (f25166dbe4c4fd71) — skipping
2026-08-05 02:28:17,938 | INFO    | molsanity | [cell SynthMotifs__GINE__Saliency__scaffold__seed1] DONE — acc=0.96 gt_auroc=0.91632 n=200 (capped) [cached]
2026-08-05 02:28:18,527 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__Saliency__scaffold__seed2] cache hit (1072fc88b967a5a2) — skipping
2026-08-05 02:28:18,527 | INFO    | molsanity | [cell SynthMotifs__GINE__Saliency__scaffold__seed2] DONE — acc=0.97 gt_auroc=0.96884 n=200 (capped) [cached]
