2026-07-30 16:42:54,042 | INFO    | molsanity | === MolSanity run: full.yaml (seed=0) ===
2026-07-30 16:43:01,631 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__scaffold] cache hit (fba575de0397d1a2) — skipping
2026-07-30 16:43:01,631 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__scaffold] DONE — acc=0.95 gt_auroc=0.9011999999999999 n=20 (capped) [cached]
2026-07-30 16:43:04,928 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__random] cache hit (e26d99535fc29e1f) — skipping
2026-07-30 16:43:04,928 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__random] DONE — acc=1.00 gt_auroc=0.998 n=20 (capped) [cached]
2026-07-30 16:43:06,523 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__Saliency__scaffold] cache hit (d052fcaa872b43af) — skipping
2026-07-30 16:43:06,523 | INFO    | molsanity | [cell SynthMotifs__GINE__Saliency__scaffold] DONE — acc=0.95 gt_auroc=0.9752000000000001 n=20 (capped) [cached]
2026-07-30 16:43:07,842 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__Saliency__random] cache hit (8f1b1ca978d02c61) — skipping
2026-07-30 16:43:07,842 | INFO    | molsanity | [cell SynthMotifs__GINE__Saliency__random] DONE — acc=1.00 gt_auroc=0.9992000000000001 n=20 (capped) [cached]
2026-07-30 16:43:09,457 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__InputXGradient__scaffold] cache hit (ebbe13f02b0c44ab) — skipping
2026-07-30 16:43:09,457 | INFO    | molsanity | [cell SynthMotifs__GINE__InputXGradient__scaffold] DONE — acc=0.95 gt_auroc=0.9683999999999999 n=20 (capped) [cached]
2026-07-30 16:43:11,151 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__InputXGradient__random] cache hit (14f9641c4a228337) — skipping
2026-07-30 16:43:11,152 | INFO    | molsanity | [cell SynthMotifs__GINE__InputXGradient__random] DONE — acc=1.00 gt_auroc=0.9916 n=20 (capped) [cached]
2026-07-30 16:43:13,111 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__GuidedBackprop__scaffold] cache hit (92fa24d1e316e843) — skipping
2026-07-30 16:43:13,112 | INFO    | molsanity | [cell SynthMotifs__GINE__GuidedBackprop__scaffold] DONE — acc=0.95 gt_auroc=0.9279999999999999 n=20 (capped) [cached]
2026-07-30 16:43:14,877 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__GuidedBackprop__random] cache hit (e5133dc16faa5e3d) — skipping
2026-07-30 16:43:14,878 | INFO    | molsanity | [cell SynthMotifs__GINE__GuidedBackprop__random] DONE — acc=1.00 gt_auroc=1.0 n=20 (capped) [cached]
2026-07-30 16:43:16,701 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__GNNExplainer__scaffold] cache hit (7ba996dd6a4b7e9f) — skipping
2026-07-30 16:43:16,702 | INFO    | molsanity | [cell SynthMotifs__GINE__GNNExplainer__scaffold] DONE — acc=0.95 gt_auroc=0.6680000000000001 n=20 (capped) [cached]
2026-07-30 16:43:18,655 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__GNNExplainer__random] cache hit (6126ffcb1146f4d5) — skipping
2026-07-30 16:43:18,656 | INFO    | molsanity | [cell SynthMotifs__GINE__GNNExplainer__random] DONE — acc=1.00 gt_auroc=0.4744 n=20 (capped) [cached]
2026-07-30 16:43:18,668 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__PGExplainer__scaffold] running (9f7d4583b76a142b)
2026-07-30 16:43:45,812 | INFO    | molsanity | Generated SynthMotifs: 200 graphs (house/cycle), exact node GT
2026-07-30 16:43:47,595 | INFO    | molsanity | Loaded SynthMotifs: 200 graphs, checksum 30b91fad87ac
2026-07-30 16:43:48,171 | INFO    | molsanity | Scaffold split: 200 scaffolds -> train 160 / val 20 / test 20
2026-07-30 16:43:50,250 | INFO    | molsanity | Loaded existing checkpoint gine_5281be77a9e8e1fc.pt
2026-07-30 16:43:52,673 | ERROR   | molsanity | [cell SynthMotifs__GINE__PGExplainer__scaffold] FAILED — Expected all tensors to be on the same device, but got mat1 is on cuda:0, different from other tensors on cpu (when checking argument in method wrapper_CUDA_addmm) (traceback -> logs/error_SynthMotifs__GINE__PGExplainer__scaffold_20260730_164248.log)
2026-07-30 16:43:52,701 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__PGExplainer__random] running (55d160fe911fe15e)
2026-07-30 16:43:53,067 | INFO    | molsanity | Generated SynthMotifs: 200 graphs (house/cycle), exact node GT
2026-07-30 16:43:53,080 | INFO    | molsanity | Loaded SynthMotifs: 200 graphs, checksum 30b91fad87ac
2026-07-30 16:43:54,049 | INFO    | molsanity | Loaded existing checkpoint gine_81524887c7adee3c.pt
2026-07-30 16:43:54,077 | ERROR   | molsanity | [cell SynthMotifs__GINE__PGExplainer__random] FAILED — Expected all tensors to be on the same device, but got mat1 is on cuda:0, different from other tensors on cpu (when checking argument in method wrapper_CUDA_addmm) (traceback -> logs/error_SynthMotifs__GINE__PGExplainer__random_20260730_164248.log)
2026-07-30 16:43:55,862 | INFO    | molsanity | [stage cell_SynthMotifs__GCN__IntegratedGradients__scaffold] cache hit (fa4e2731684c208c) — skipping
2026-07-30 16:43:55,862 | INFO    | molsanity | [cell SynthMotifs__GCN__IntegratedGradients__scaffold] DONE — acc=0.70 gt_auroc=0.9867999999999999 n=20 (capped) [cached]
2026-07-30 16:43:57,692 | INFO    | molsanity | [stage cell_SynthMotifs__GCN__IntegratedGradients__random] cache hit (a1e311ad44f00922) — skipping
2026-07-30 16:43:57,692 | INFO    | molsanity | [cell SynthMotifs__GCN__IntegratedGradients__random] DONE — acc=0.60 gt_auroc=0.4796 n=20 (capped) [cached]
2026-07-30 16:43:59,610 | INFO    | molsanity | [stage cell_SynthMotifs__GAT__IntegratedGradients__scaffold] cache hit (4ab32a49eed2eec9) — skipping
2026-07-30 16:43:59,610 | INFO    | molsanity | [cell SynthMotifs__GAT__IntegratedGradients__scaffold] DONE — acc=0.95 gt_auroc=0.5916 n=20 (capped) [cached]
2026-07-30 16:44:01,410 | INFO    | molsanity | [stage cell_SynthMotifs__GAT__IntegratedGradients__random] cache hit (a7f55c09b1626a4e) — skipping
2026-07-30 16:44:01,410 | INFO    | molsanity | [cell SynthMotifs__GAT__IntegratedGradients__random] DONE — acc=1.00 gt_auroc=0.8739999999999999 n=20 (capped) [cached]
2026-07-30 16:44:03,225 | INFO    | molsanity | [stage cell_SynthMotifs__MPNN__IntegratedGradients__scaffold] cache hit (e7603a1451efb5b1) — skipping
2026-07-30 16:44:03,226 | INFO    | molsanity | [cell SynthMotifs__MPNN__IntegratedGradients__scaffold] DONE — acc=0.65 gt_auroc=0.7116 n=20 (capped) [cached]
2026-07-30 16:44:05,073 | INFO    | molsanity | [stage cell_SynthMotifs__MPNN__IntegratedGradients__random] cache hit (d165f5b1272d72b6) — skipping
2026-07-30 16:44:05,073 | INFO    | molsanity | [cell SynthMotifs__MPNN__IntegratedGradients__random] DONE — acc=1.00 gt_auroc=0.8388 n=20 (capped) [cached]
