2026-08-05 07:13:59,950 | INFO    | molsanity | === MolSanity run: full.yaml (seed=0) ===
2026-08-05 07:14:03,119 | INFO    | molsanity | Preflight: attributor dependencies OK.
2026-08-05 07:14:03,121 | INFO    | molsanity | Seeds: [0, 1, 2]
2026-08-05 07:14:03,534 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__scaffold__seed0] cache hit (f27d4f634a6b3108) — skipping
2026-08-05 07:14:03,534 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__scaffold__seed0] DONE — acc=0.91 gt_auroc=0.97744 n=200 (capped) [cached]
2026-08-05 07:14:03,951 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__scaffold__seed1] cache hit (fa1093e519ff4552) — skipping
2026-08-05 07:14:03,951 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__scaffold__seed1] DONE — acc=0.96 gt_auroc=0.9764400000000001 n=200 (capped) [cached]
2026-08-05 07:14:04,316 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__scaffold__seed2] cache hit (ed76f6ca9aec96f7) — skipping
2026-08-05 07:14:04,316 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__scaffold__seed2] DONE — acc=0.97 gt_auroc=0.9664400000000001 n=200 (capped) [cached]
2026-08-05 07:14:04,703 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__random__seed0] cache hit (02753f4e809ce5f5) — skipping
2026-08-05 07:14:04,703 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__random__seed0] DONE — acc=0.98 gt_auroc=0.9968800000000002 n=200 (capped) [cached]
2026-08-05 07:14:05,150 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__random__seed1] cache hit (7d175e0f92c82ad0) — skipping
2026-08-05 07:14:05,150 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__random__seed1] DONE — acc=0.98 gt_auroc=0.99576 n=200 (capped) [cached]
2026-08-05 07:14:05,569 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__random__seed2] cache hit (1565f585e9b5541c) — skipping
2026-08-05 07:14:05,569 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__random__seed2] DONE — acc=0.94 gt_auroc=0.97708 n=200 (capped) [cached]
2026-08-05 07:14:06,182 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__Saliency__scaffold__seed0] cache hit (48c0da9ec625aa1b) — skipping
2026-08-05 07:14:06,182 | INFO    | molsanity | [cell SynthMotifs__GINE__Saliency__scaffold__seed0] DONE — acc=0.91 gt_auroc=0.98556 n=200 (capped) [cached]
2026-08-05 07:14:06,578 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__Saliency__scaffold__seed1] cache hit (f25166dbe4c4fd71) — skipping
2026-08-05 07:14:06,578 | INFO    | molsanity | [cell SynthMotifs__GINE__Saliency__scaffold__seed1] DONE — acc=0.96 gt_auroc=0.91632 n=200 (capped) [cached]
2026-08-05 07:14:06,970 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__Saliency__scaffold__seed2] cache hit (1072fc88b967a5a2) — skipping
2026-08-05 07:14:06,970 | INFO    | molsanity | [cell SynthMotifs__GINE__Saliency__scaffold__seed2] DONE — acc=0.97 gt_auroc=0.96884 n=200 (capped) [cached]
2026-08-05 07:14:07,670 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__Saliency__random__seed0] cache hit (f35ee62bd3a2fd8c) — skipping
2026-08-05 07:14:07,670 | INFO    | molsanity | [cell SynthMotifs__GINE__Saliency__random__seed0] DONE — acc=0.98 gt_auroc=0.9934000000000001 n=200 (capped) [cached]
2026-08-05 07:14:08,198 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__Saliency__random__seed1] cache hit (b12bf657be55d0c6) — skipping
2026-08-05 07:14:08,198 | INFO    | molsanity | [cell SynthMotifs__GINE__Saliency__random__seed1] DONE — acc=0.98 gt_auroc=0.98276 n=200 (capped) [cached]
2026-08-05 07:14:08,558 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__Saliency__random__seed2] cache hit (00333c65a3925cbb) — skipping
2026-08-05 07:14:08,559 | INFO    | molsanity | [cell SynthMotifs__GINE__Saliency__random__seed2] DONE — acc=0.94 gt_auroc=0.9599599999999999 n=200 (capped) [cached]
2026-08-05 07:14:09,186 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__InputXGradient__scaffold__seed0] cache hit (0523697f3cf545a1) — skipping
2026-08-05 07:14:09,186 | INFO    | molsanity | [cell SynthMotifs__GINE__InputXGradient__scaffold__seed0] DONE — acc=0.91 gt_auroc=0.99192 n=200 (capped) [cached]
2026-08-05 07:14:09,584 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__InputXGradient__scaffold__seed1] cache hit (6a835c600f152d2c) — skipping
2026-08-05 07:14:09,584 | INFO    | molsanity | [cell SynthMotifs__GINE__InputXGradient__scaffold__seed1] DONE — acc=0.96 gt_auroc=0.9107599999999999 n=200 (capped) [cached]
2026-08-05 07:14:09,953 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__InputXGradient__scaffold__seed2] cache hit (a767378d0f597e76) — skipping
2026-08-05 07:14:09,953 | INFO    | molsanity | [cell SynthMotifs__GINE__InputXGradient__scaffold__seed2] DONE — acc=0.97 gt_auroc=0.9607600000000001 n=200 (capped) [cached]
2026-08-05 07:14:10,336 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__InputXGradient__random__seed0] cache hit (55c7baf914e35f27) — skipping
2026-08-05 07:14:10,336 | INFO    | molsanity | [cell SynthMotifs__GINE__InputXGradient__random__seed0] DONE — acc=0.98 gt_auroc=0.9872 n=200 (capped) [cached]
