2026-08-04 02:49:28,139 | INFO    | molsanity | === MolSanity run: full.yaml (seed=0) ===
2026-08-04 02:49:33,648 | INFO    | molsanity | Preflight: attributor dependencies OK.
2026-08-04 02:49:33,652 | INFO    | molsanity | Seeds: [0, 1, 2]
2026-08-04 02:49:34,048 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__scaffold__seed0] cache hit (f27d4f634a6b3108) — skipping
2026-08-04 02:49:34,048 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__scaffold__seed0] DONE — acc=0.91 gt_auroc=0.97744 n=200 (capped) [cached]
2026-08-04 02:49:34,387 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__scaffold__seed1] cache hit (fa1093e519ff4552) — skipping
2026-08-04 02:49:34,387 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__scaffold__seed1] DONE — acc=0.96 gt_auroc=0.9764400000000001 n=200 (capped) [cached]
2026-08-04 02:49:34,780 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__scaffold__seed2] cache hit (ed76f6ca9aec96f7) — skipping
2026-08-04 02:49:34,780 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__scaffold__seed2] DONE — acc=0.97 gt_auroc=0.9664400000000001 n=200 (capped) [cached]
2026-08-04 02:49:35,174 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__random__seed0] cache hit (02753f4e809ce5f5) — skipping
2026-08-04 02:49:35,175 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__random__seed0] DONE — acc=0.98 gt_auroc=0.9968800000000002 n=200 (capped) [cached]
2026-08-04 02:49:35,537 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__random__seed1] cache hit (7d175e0f92c82ad0) — skipping
2026-08-04 02:49:35,537 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__random__seed1] DONE — acc=0.98 gt_auroc=0.99576 n=200 (capped) [cached]
2026-08-04 02:49:35,891 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__random__seed2] cache hit (1565f585e9b5541c) — skipping
