2026-08-02 23:18:07,643 | INFO    | molsanity | === MolSanity run: full.yaml (seed=0) ===
2026-08-02 23:18:13,575 | INFO    | molsanity | Preflight: attributor dependencies OK.
2026-08-02 23:18:13,580 | INFO    | molsanity | Seeds: [0, 1, 2]
2026-08-02 23:18:14,180 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__scaffold__seed0] cache hit (193b0b2c375ae42d) — skipping
2026-08-02 23:18:14,180 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__scaffold__seed0] DONE — acc=0.90 gt_auroc=0.8886 n=200 (capped) [cached]
2026-08-02 23:18:14,745 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__scaffold__seed1] cache hit (7c6e9f56f368d6c3) — skipping
2026-08-02 23:18:14,745 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__scaffold__seed1] DONE — acc=1.00 gt_auroc=0.99248 n=200 (capped) [cached]
2026-08-02 23:18:15,332 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__scaffold__seed2] cache hit (693279ba233cd06b) — skipping
2026-08-02 23:18:15,332 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__scaffold__seed2] DONE — acc=0.92 gt_auroc=0.97808 n=200 (capped) [cached]
2026-08-02 23:18:15,934 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__random__seed0] cache hit (02753f4e809ce5f5) — skipping
2026-08-02 23:18:15,934 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__random__seed0] DONE — acc=0.98 gt_auroc=0.9968800000000002 n=200 (capped) [cached]
2026-08-02 23:18:16,543 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__random__seed1] cache hit (7d175e0f92c82ad0) — skipping
2026-08-02 23:18:16,543 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__random__seed1] DONE — acc=0.98 gt_auroc=0.99576 n=200 (capped) [cached]
2026-08-02 23:18:17,127 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__IntegratedGradients__random__seed2] cache hit (1565f585e9b5541c) — skipping
2026-08-02 23:18:17,128 | INFO    | molsanity | [cell SynthMotifs__GINE__IntegratedGradients__random__seed2] DONE — acc=0.94 gt_auroc=0.97708 n=200 (capped) [cached]
2026-08-02 23:18:17,673 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__Saliency__scaffold__seed0] cache hit (99e9e11a6bd43bfb) — skipping
2026-08-02 23:18:17,673 | INFO    | molsanity | [cell SynthMotifs__GINE__Saliency__scaffold__seed0] DONE — acc=0.90 gt_auroc=0.96492 n=200 (capped) [cached]
2026-08-02 23:18:18,238 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__Saliency__scaffold__seed1] cache hit (34d47b87541640ac) — skipping
2026-08-02 23:18:18,239 | INFO    | molsanity | [cell SynthMotifs__GINE__Saliency__scaffold__seed1] DONE — acc=1.00 gt_auroc=0.98256 n=200 (capped) [cached]
2026-08-02 23:18:18,840 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__Saliency__scaffold__seed2] cache hit (dbc1d6fc5c881904) — skipping
2026-08-02 23:18:18,840 | INFO    | molsanity | [cell SynthMotifs__GINE__Saliency__scaffold__seed2] DONE — acc=0.92 gt_auroc=0.98312 n=200 (capped) [cached]
2026-08-02 23:18:19,422 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__Saliency__random__seed0] cache hit (f35ee62bd3a2fd8c) — skipping
2026-08-02 23:18:19,422 | INFO    | molsanity | [cell SynthMotifs__GINE__Saliency__random__seed0] DONE — acc=0.98 gt_auroc=0.9934000000000001 n=200 (capped) [cached]
2026-08-02 23:18:20,010 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__Saliency__random__seed1] cache hit (b12bf657be55d0c6) — skipping
2026-08-02 23:18:20,011 | INFO    | molsanity | [cell SynthMotifs__GINE__Saliency__random__seed1] DONE — acc=0.98 gt_auroc=0.98276 n=200 (capped) [cached]
2026-08-02 23:18:20,618 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__Saliency__random__seed2] cache hit (00333c65a3925cbb) — skipping
2026-08-02 23:18:20,619 | INFO    | molsanity | [cell SynthMotifs__GINE__Saliency__random__seed2] DONE — acc=0.94 gt_auroc=0.9599599999999999 n=200 (capped) [cached]
2026-08-02 23:18:21,227 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__InputXGradient__scaffold__seed0] cache hit (70e4e61173f0513c) — skipping
2026-08-02 23:18:21,227 | INFO    | molsanity | [cell SynthMotifs__GINE__InputXGradient__scaffold__seed0] DONE — acc=0.90 gt_auroc=0.95144 n=200 (capped) [cached]
2026-08-02 23:18:21,842 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__InputXGradient__scaffold__seed1] cache hit (b21a7f33a2b02a43) — skipping
2026-08-02 23:18:21,842 | INFO    | molsanity | [cell SynthMotifs__GINE__InputXGradient__scaffold__seed1] DONE — acc=1.00 gt_auroc=0.9765599999999999 n=200 (capped) [cached]
2026-08-02 23:18:22,448 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__InputXGradient__scaffold__seed2] cache hit (d4e1596d2155784e) — skipping
2026-08-02 23:18:22,449 | INFO    | molsanity | [cell SynthMotifs__GINE__InputXGradient__scaffold__seed2] DONE — acc=0.92 gt_auroc=0.9816000000000001 n=200 (capped) [cached]
2026-08-02 23:18:23,060 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__InputXGradient__random__seed0] cache hit (55c7baf914e35f27) — skipping
2026-08-02 23:18:23,060 | INFO    | molsanity | [cell SynthMotifs__GINE__InputXGradient__random__seed0] DONE — acc=0.98 gt_auroc=0.9872 n=200 (capped) [cached]
2026-08-02 23:18:23,635 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__InputXGradient__random__seed1] cache hit (f0b3d5309ccd3f1a) — skipping
2026-08-02 23:18:23,635 | INFO    | molsanity | [cell SynthMotifs__GINE__InputXGradient__random__seed1] DONE — acc=0.98 gt_auroc=0.9632 n=200 (capped) [cached]
2026-08-02 23:18:24,209 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__InputXGradient__random__seed2] cache hit (3745ebf4616a742c) — skipping
2026-08-02 23:18:24,209 | INFO    | molsanity | [cell SynthMotifs__GINE__InputXGradient__random__seed2] DONE — acc=0.94 gt_auroc=0.9592400000000001 n=200 (capped) [cached]
2026-08-02 23:18:24,824 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__GuidedBackprop__scaffold__seed0] cache hit (d994857856dc79ec) — skipping
2026-08-02 23:18:24,824 | INFO    | molsanity | [cell SynthMotifs__GINE__GuidedBackprop__scaffold__seed0] DONE — acc=0.90 gt_auroc=0.91328 n=200 (capped) [cached]
2026-08-02 23:18:25,381 | INFO    | molsanity | [stage cell_SynthMotifs__GINE__GuidedBackprop__scaffold__seed1] cache hit (714b60f68289a8a3) — skipping
